,N,Party,Province,Race,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
202,1859.0,p_sp,Erzurum,1991,0.0,0.0,1.22413980143e-13,0.0,0.0
203,1424.0,p_bgmz,Eskisehir,1991,0.0,0.0,,0.0,0.0
204,1424.0,p_dsp,Eskisehir,1991,0.593322168644,8.53372977639e-06,0.712755035894,0.490110772888,0.47
205,1424.0,p_dyp,Eskisehir,1991,0.950142664073,0.62240633375,0.913128705666,0.906350141414,0.7
206,1424.0,p_anap,Eskisehir,1991,0.0981768601952,6.26009953311e-08,0.119166193104,0.134614072123,0.47
207,1424.0,p_rp,Eskisehir,1991,0.130824853854,0.000434753362451,0.255902640699,0.0792392925946,0.37
208,1424.0,p_shp,Eskisehir,1991,0.000566103398944,7.26390530585e-06,0.00252855939965,0.000270866886798,0.03
209,1424.0,p_sp,Eskisehir,1991,0.0,0.0,1.03003269633e-17,0.0,0.0
210,1968.0,p_bgmz,Gaziantep,1991,0.0,0.0,,0.0,0.0
211,1968.0,p_dsp,Gaziantep,1991,4.26492669701e-10,1.03530717331e-42,0.42635183342,1.54521466503e-11,0.53
212,1968.0,p_dyp,Gaziantep,1991,0.473241522979,0.000421406263913,0.394583981895,0.450319494477,0.06
213,1968.0,p_anap,Gaziantep,1991,0.102900712311,0.0474480065006,0.239115440948,0.0425770494394,0.19
214,1968.0,p_rp,Gaziantep,1991,0.200922548729,1.9852025111e-09,0.235144192986,0.157792163652,0.23
215,1968.0,p_shp,Gaziantep,1991,0.637960725004,0.00900158036842,0.805555218656,0.515215222622,0.97
216,1968.0,p_sp,Gaziantep,1991,0.0,0.0,1.08029581861e-15,0.0,0.0
217,1053.0,p_bgmz,Giresun,1991,0.0,0.0,,0.0,0.0
218,1053.0,p_dsp,Giresun,1991,0.239382916791,3.40170274258e-19,0.0746925333802,0.205657210384,0.0
219,1053.0,p_dyp,Giresun,1991,0.415907114261,0.385605696808,0.573222723602,0.298629848347,0.46
220,1053.0,p_anap,Giresun,1991,0.973889582642,0.529214989518,0.933978258502,0.96346088157,0.52
221,1053.0,p_rp,Giresun,1991,0.559214132439,0.00110255857321,0.597708599434,0.54403303824,0.8
222,1053.0,p_shp,Giresun,1991,0.0761207434445,8.71222808132e-05,0.0779862145028,0.0533689568282,0.3
223,1053.0,p_sp,Giresun,1991,0.0,0.0,6.43810480507e-16,0.0,0.0
224,484.0,p_bgmz,Gumushane,1991,0.0,0.0,,0.0,0.0
225,484.0,p_dsp,Gumushane,1991,1.50407983112e-34,8.19802992054e-283,0.342881440969,4.10023136206e-36,0.03
226,484.0,p_dyp,Gumushane,1991,0.541063851321,0.0464161833776,0.77497854095,0.451117997784,0.7
227,484.0,p_anap,Gumushane,1991,0.597256524414,0.00128230923714,0.364364081163,0.67663222783,0.23
228,484.0,p_rp,Gumushane,1991,0.0228458330013,0.0809173430945,0.270758748637,0.0130224725074,0.34
229,484.0,p_shp,Gumushane,1991,1.64452372534e-05,3.33905815889e-21,0.604258730378,4.66707734963e-06,0.37
230,484.0,p_sp,Gumushane,1991,0.0,0.0,0.00018867711011,0.0,0.0
231,252.0,p_bgmz,Hakkari,1991,0.0,0.0,,0.0,0.0
