,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
282,86.0,,4.0,20.0,p_FP,riksdagsval,2002,,,,,0.0
283,86.0,,4.0,20.0,p_KD,riksdagsval,2002,,,,,0.0
284,86.0,,4.0,20.0,p_S,riksdagsval,2002,,,,,0.0
285,86.0,,4.0,20.0,p_V,riksdagsval,2002,,,,,0.0
286,86.0,,4.0,20.0,p_other,riksdagsval,2002,,,,,0.0
287,88.0,,4.0,8.0,p_M,riksdagsval,2002,,,,,0.0
288,88.0,,4.0,8.0,p_C,riksdagsval,2002,,,,,0.0
289,88.0,,4.0,8.0,p_FP,riksdagsval,2002,,,,,0.0
290,88.0,,4.0,8.0,p_KD,riksdagsval,2002,,,,,0.0
291,88.0,,4.0,8.0,p_S,riksdagsval,2002,,,,,0.0
